MinDate,MaxDate,Table
2019-12-01 00:01:57.257,2020-04-28 23:59:56.770,""DEV_EDW"".""CUST360"".""T_S_EMAILCLICKTHROUGH""
2018-01-02 06:00:48.587,2020-04-28 23:34:25.000,""DEV_EDW"".""CUST360"".""T_S_BOUNCEBACK""
2018-01-01 00:00:05.513,2020-04-28 23:59:59.103,""DEV_EDW"".""CUST360"".""T_S_EMAILOPEN""
2018-01-01 00:16:03.237,2020-04-28 23:59:58.133,""DEV_EDW"".""CUST360"".""T_S_EMAILSEND""
2018-01-01 00:05:15.750,2020-04-28 23:59:56.163,""DEV_EDW"".""CUST360"".""T_S_FORMSUBMIT""
2018-01-01 00:00:11.473,2020-04-28 23:59:56.773,""DEV_EDW"".""CUST360"".""T_S_PAGEVIEW"" 
2018-01-01 00:05:16.060,2020-04-28 23:56:57.590,""DEV_EDW"".""CUST360"".""T_S_SUBSCRIBE""
2018-01-02 05:01:07.217,2020-04-28 23:56:57.590,""DEV_EDW"".""CUST360"".""T_S_UNSUBSCRIBE""
2018-01-01 00:01:23.697,2020-04-28 23:59:56.760,""DEV_EDW"".""CUST360"".""T_S_WEBVISIT""
2013-07-23 11:12:53,2020-04-28 04:04:53,""DEV_EDW"".""CUST360"".""T_S_ACCOUNT""
2015-09-21 03:00:00,2020-04-27 06:00:00,""DEV_EDW"".""CUST360"".""T_S_CAMPAIGN""
2020-01-16 00:00:00,2020-04-27 06:00:00,""DEV_EDW"".""CUST360"".""T_S_CAMPAIGN_APR""